dataset,state,farm_type,year,value,unit,measure_type
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Goat Farm,2018,512,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Pig Farm,2015,199,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Pig Farm,2016,189,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Pig Farm,2017,182,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Pig Farm,2018,214,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Quail Meat Farm,2015,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Quail Meat Farm,2016,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Quail Meat Farm,2017,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Quail Meat Farm,2018,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Beef Cattle Farm,2015,862,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Beef Cattle Farm,2016,970,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Beef Cattle Farm,2017,1094,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Beef Cattle Farm,2018,1114,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Buffalo Farm,2015,28,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Buffalo Farm,2016,33,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Buffalo Farm,2017,37,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Buffalo Farm,2018,37,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Chicken Meat Farm,2015,178,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Chicken Meat Farm,2016,204,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Chicken Meat Farm,2017,204,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Chicken Meat Farm,2018,210,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Duck Meat Farm,2015,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Duck Meat Farm,2016,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Duck Meat Farm,2017,10,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Duck Meat Farm,2018,14,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Goat Farm,2015,795,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Goat Farm,2016,886,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Goat Farm,2017,1022,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Goat Farm,2018,1075,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Pig Farm,2015,128,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Pig Farm,2016,128,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Pig Farm,2017,125,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Pig Farm,2018,195,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Quail Meat Farm,2015,18,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Quail Meat Farm,2016,17,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Quail Meat Farm,2017,17,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Selangor,Quail Meat Farm,2018,13,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Beef Cattle Farm,2015,3311,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Beef Cattle Farm,2016,3802,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Beef Cattle Farm,2017,4231,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Beef Cattle Farm,2018,4772,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Buffalo Farm,2015,156,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Buffalo Farm,2016,174,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Buffalo Farm,2017,199,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Buffalo Farm,2018,237,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Chicken Meat Farm,2015,174,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Chicken Meat Farm,2016,190,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Chicken Meat Farm,2017,154,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Chicken Meat Farm,2018,141,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Duck Meat Farm,2015,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Duck Meat Farm,2016,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Duck Meat Farm,2017,7,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Duck Meat Farm,2018,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Goat Farm,2015,1184,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Goat Farm,2016,1419,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Goat Farm,2017,1633,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Goat Farm,2018,1903,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Pig Farm,2015,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Pig Farm,2016,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Pig Farm,2017,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Pig Farm,2018,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Quail Meat Farm,2015,14,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Quail Meat Farm,2016,16,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Quail Meat Farm,2017,13,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Terengganu,Quail Meat Farm,2018,14,farms,count
